code,product_name,brands,categories,additives_tags,allergens_tags,ingredients_text,nutrition_grades,image_url,energy_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,additives_count,allergens_count,nutrient_score
8908013479092,double cocoa protien bar,The Whole Truth,Dietary supplements,[],"['en:milk', 'en:nuts']","Cashew kernels,dates,whey protein concentrate,almond kernels,cocoa powder,cocoa butter",b,https://images.openfoodfacts.org/images/products/890/801/347/9092/front_en.3.400.jpg,1072.0,13.3,19.6,10.4,13.8,3.4,0.01825,5.4,0.0,2.0,6.0
8901262174244,Amul Vanilla Gold,Amul,Desserts,"['en:e407', 'en:e412', 'en:e415', 'en:e466', 'en:e471']",['en:milk'],"Milk solids, sugar, emulsifier (471), stabilizers (407, 466, 415, 412), artificial flavouring substances (vanilla).",d,https://images.openfoodfacts.org/images/products/890/126/217/4244/front_en.3.400.jpg,904.0,3.7,20.9,20.9,13.0,7.8,0.13,,5.0,1.0,3.0
8902433040207,Boomer Bubble Gum,Wrigley's,bubble gum,[],[],,unknown,https://images.openfoodfacts.org/images/products/890/243/304/0207/front_en.5.400.jpg,,,,,,,,,0.0,0.0,5.0
0890497000412,Original 4-inch Naan Rounds,Stonefire 12-Flatbreads / Pains Plats,Plant-based foods and beverages,"['en:e1100', 'en:e414', 'en:e471']","['en:eggs', 'en:gluten', 'en:milk', 'en:sesame-seeds', 'en:soybeans']","Enriched wheat flour, Water, Buttermilk (milk ingredients, bacterial culture), Soybean oil, Sugars (sugar, dextrose), Modified wheat starch, Cultured wheat flour, Salt, Ghee (clarified butter), Acacia gum, Baking powder, Yeast, Mono - and diglycerides, Amylase, Xylanase. 
_Contains: Wheat, Milk._
 _May contain: Eggs, Sesame seeds, Soy._",c,https://images.openfoodfacts.org/images/products/089/049/700/0412/front_en.49.400.jpg,1180.0,8.33,53.3,5.0,5.83,1.67,1.83,6.67,3.0,5.0,5.0
8901012189511,,,,,,,,https://images.openfoodfacts.org/images/products/890/101/218/9511/front_en.3.400.jpg,,,,,,,,,,,5.0
0701098289048,,,,,[],,unknown,https://images.openfoodfacts.org/images/products/070/109/828/9048/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8908016029997,Fritts,,,,[],,unknown,,410.0,1.1,12.0,,4.5,,,0.6,,0.0,5.0
8904075601846,,,,,,,,,,,,,,,,,,,5.0
8901207017056,,Dabur,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/120/701/7056/front_en.5.400.jpg,,,,,,,,,,0.0,5.0
8906166360328,Butter Biscuits,Open Secrets,biscuits,"['en:e322', 'en:e450', 'en:e450i', 'en:e473', 'en:e500', 'en:e500ii', 'en:e575']","['en:gluten', 'en:milk']","Oats Flour, Whole Wheat Flour, Hydrogenated vegetable oil (Coconut Oil, Seasame Oil (refined) & Vitamin A), Fructooligosaccharides, Jaggery Powder, Skimmed Milk Powder, Unsalted Butter(3.5%), Refined Sunflower oil, Rising Agent (INS 303 (ii), INS 500 (ii) INS 450(i), E575), Antioxidant E322, Edible Salt Emulsifier INS473",c,https://images.openfoodfacts.org/images/products/890/616/636/0328/front_en.7.400.jpg,308.0,1.4,9.5,3.8,3.3,3.0,0.135,0.3,7.0,2.0,5.0
